Industry Name,Number of Firms,Beta,Cost of Equity,E/(D+E),Std Dev in Stock,Cost of Debt,Tax Rate,After-tax Cost of Debt,D/(D+E),Cost of Capital
Office Equipment & Services,24,1.815368316,0.131622099,0.6228192458,0.4157589066,0.0352,0.1914344353,0.02112,0.3771807542,0.08994283392
Oil/Gas (Integrated),7,1.536247126,0.1148748276,0.8583979356,0.5024384076,0.0402,0.08141002301,0.02412,0.1416020644,0.1020237566
Oil/Gas (Production and Exploration),351,1.62980614,0.1204883684,0.5480139687,0.8021762859,0.0652,0.0290528192,0.03912,0.4519860313,0.08371100249
Oil/Gas Distribution,79,1.223671429,0.09612028571,0.5145149381,0.4781504259,0.0352,0.05598971297,0.02112,0.4854850619,0.05970876736
Oilfield Svcs/Equip.,143,1.742424515,0.1272454709,0.7190159593,0.6961691227,0.0452,0.09560277261,0.02712,0.2809840407,0.09911181153
Packaging & Container,25,1.2638867,0.09853320197,0.6462778707,0.3209929374,0.0352,0.2140910059,0.02112,0.3537221293,0.07115043933
Paper/Forest Products,20,1.515862069,0.1136517241,0.52892393,0.3852966872,0.0352,0.1588039054,0.02112,0.47107607,0.07006224318
Power,73,0.7973411089,0.07054046653,0.5451303183,0.2931036588,0.0352,0.2337922574,0.02112,0.4548696817,0.04806059465
Precious Metals,113,1.293062671,0.1002837603,0.6665222674,0.9312911916,0.0777,0.01595391245,0.04662,0.3334777326,0.08238809117
Publishing & Newspapers,39,1.445887931,0.1094532759,0.6685822123,0.5159624386,0.0402,0.1366654233,0.02412,0.3314177877,0.08117231036
R.E.I.T.,221,0.764463908,0.06856783448,0.5268351441,0.2570929151,0.0352,0.02174491367,0.02112,0.4731648559,0.04611718672
Real Estate (Development),21,1.407192698,0.1071315619,0.6139211221,0.3614803787,0.0352,0.01057890917,0.02112,0.3860788779,0.07392431457
Real Estate (General/Diversified),12,1.216122257,0.09566733542,0.7970018742,0.4075591336,0.0352,0.09636536316,0.02112,0.2029981258,0.08053436605
Real Estate (Operations & Services),55,1.495078992,0.1124047395,0.6077612607,0.4343811966,0.0352,0.1119407542,0.02112,0.3922387393,0.07659932839
Recreation,65,0.9145350052,0.07757210031,0.759815418,0.4547422083,0.0352,0.1133275878,0.02112,0.240184582,0.0640131762
Reinsurance,3,1.027961686,0.08437770115,0.7169631539,0.2915374602,0.0352,0.2037385987,0.02112,0.2830368461,0.06647344092
Restaurant/Dining,83,0.7595834846,0.06827500907,0.7946123799,0.4066732899,0.0352,0.1854386577,0.02112,0.2053876201,0.05858995398
Retail (Automotive),26,1.060285057,0.08631710345,0.6529184763,0.4634036477,0.0352,0.2118091535,0.02112,0.3470815237,0.06368839344
Retail (Building Supply),5,1.471377011,0.1109826207,0.8422316622,0.5034072958,0.0402,0.2317941583,0.02412,0.1577683378,0.09727844941
Retail (Distributors),83,1.220994981,0.09595969888,0.6236840988,0.5236066082,0.0402,0.1641611335,0.02412,0.3763159012,0.06892527785
Retail (General),19,1.161176884,0.09237061303,0.7168896072,0.4687121793,0.0352,0.2474896887,0.02112,0.2831103928,0.07219882398
Retail (Grocery and Food),17,1.038724814,0.08502348884,0.6807754255,0.5156826559,0.0402,0.235597075,0.02412,0.3192245745,0.06558159853
Retail (Online),39,1.57527682,0.1172166092,0.9217091828,0.5054155314,0.0402,0.1114304826,0.02412,0.07829081724,0.1099279996
Retail (Special Lines),124,1.073408662,0.0871045197,0.6817457308,0.5069028749,0.0402,0.1995398747,0.02412,0.3182542692,0.06705942742
Rubber& Tires,4,1.659841954,0.1222905172,0.6051184578,0.3800104834,0.0352,0.09601985448,0.02112,0.3948815422,0.08234014737
Semiconductor,87,1.386605318,0.1058963191,0.8883109376,0.5124449222,0.0402,0.09509416849,0.02412,0.1116890624,0.09676279866
Semiconductor Equip,46,1.398166284,0.106589977,0.7269055344,0.5420943429,0.0402,0.1124572728,0.02412,0.2730944656,0.08406788272
Shipbuilding & Marine,11,1.242478161,0.09724868966,0.637162038,0.6088611081,0.0402,0.1181918042,0.02412,0.362837962,0.07071482494
Shoe,11,0.8208701149,0.0719522069,0.9363921194,0.3902371479,0.0352,0.1811551675,0.02112,0.06360788064,0.06871887795
Software (Entertainment),17,1.416970822,0.1077182493,0.9072315371,0.5417505376,0.0402,0.01556951133,0.02412,0.09276846291,0.09996296824
Software (Internet),308,1.339160254,0.1030496152,0.9575775562,0.647079746,0.0402,0.03796956297,0.02412,0.04242244379,0.09970122807
Software (System & Application),241,1.327480066,0.102348804,0.8914297677,0.5922442332,0.0402,0.06335302731,0.02412,0.1085702323,0.09385548456
Steel,36,1.427170618,0.1083302371,0.5215035079,0.5151838476,0.0402,0.1148811432,0.02412,0.4784964921,0.06803593403
Telecom (Wireless),19,1.476761084,0.111305665,0.3991289725,0.4510581528,0.0352,0.09376621402,0.02112,0.6008710275,0.05711571181
Telecom. Equipment,121,1.291569074,0.1001941444,0.8283531868,0.5777705514,0.0402,0.08862326651,0.02412,0.1716468132,0.08713625998
Telecom. Services,65,0.9454044788,0.07942426873,0.5614669116,0.5224713301,0.0402,0.118852514,0.02412,0.4385330884,0.05517151696
Tobacco,20,1.91305977,0.1374835862,0.8344600991,0.4890271186,0.0352,0.1163550201,0.02112,0.1655399009,0.1182207697
Transportation,21,1.411211736,0.1073727042,0.7626521312,0.4002675368,0.0352,0.188198929,0.02112,0.2373478688,0.08690080866
Transportation (Railroads),12,1.151970115,0.0918182069,0.7663236452,0.3119803382,0.0352,0.1511001967,0.02112,0.2336763548,0.07529770762
Trucking,26,1.687687261,0.1239612356,0.4969710787,0.4307634088,0.0352,0.3124667964,0.02112,0.5030289213,0.07222911981
Unclassified,3,0.2295229885,0.03647137931,0.4989507798,0.2460731599,0.0302,0,0.01812,0.5010492202,0.02727643502
Utility (General),20,0.5497810345,0.05568686207,0.5864750043,0.2503443652,0.0352,0.2658110489,0.02112,0.4135249957,0.04139260058
Utility (Water),18,0.4671685824,0.05073011494,0.6711571766,0.367800508,0.0352,0.1460186516,0.02112,0.3288428234,0.04099304114
Total Market,7480,1.130950684,0.09055704107,0.5831145132,0.516522363,0.0402,0.1095375966,0.02412,0.4168854868,0.06286040286
